travelCode,user_id,departure,arrival,flightType,flight_price,flight_duration,distance,agency,flight_date,hotel_name,hotel_place,days,hotel_base,total_hotel,check_in,company,user_name,gender,age,pickupLocation,dropoffLocation,carType,rentalAgency,rentalDuration,totalDistance,fuelPolicy,bookingStatus,total_rent_price,total_price
387,3,Brasilia (DF),Sao Paulo (SP),premium,698.1,0.67,257.81,CloudFy,10/27/2022,Hotel AF,Sao Paulo (SP),3,139.1,417.3,10/27/2022,4You,Paula Daniel,female,23,Hansonfurt,Lake Shannon,Hatchback,Sixt,1.0,408.0,Partial,Confirmed,3529.0,4644.4
517,4,Recife (PE),Natal (RN),economic,360.22,0.58,222.67,Rainbow,07-01-2021,Hotel BD,Natal (RN),4,242.88,971.52,07-01-2021,4You,Patricia Carson,female,44,Carterhaven,Marquezville,Luxury,Enterprise,2.0,358.0,Full-to-Full,Cancelled,8287.0,9618.74
517,4,Recife (PE),Natal (RN),economic,360.22,0.58,222.67,Rainbow,07-01-2021,Hotel BD,Natal (RN),4,242.88,971.52,07-01-2021,4You,Patricia Carson,female,44,Port Shelby,South Carolynland,Luxury,Budget,2.0,191.0,Prepaid,Pending,4955.0,6286.74
545,4,Recife (PE),Campo Grande (MS),firstClass,1038.95,1.39,535.4,FlyingDrops,01/13/2022,Hotel BW,Campo Grande (MS),1,60.39,60.39,01/13/2022,4You,Patricia Carson,female,44,New Matthew,Lake Ashley,Luxury,Budget,5.0,469.0,Prepaid,Pending,10953.0,12052.34
548,4,Brasilia (DF),Campo Grande (MS),premium,831.7,0.72,277.7,CloudFy,02-03-2022,Hotel BW,Campo Grande (MS),2,60.39,120.78,02-03-2022,4You,Patricia Carson,female,44,Kevinbury,Houseport,Hatchback,Budget,5.0,349.0,Full-to-Full,Pending,3273.0,4225.48
562,4,Recife (PE),Natal (RN),economic,360.22,0.58,222.67,Rainbow,05-12-2022,Hotel BD,Natal (RN),2,242.88,485.76,05-12-2022,4You,Patricia Carson,female,44,Lake Antonio,North Alisonstad,Luxury,Enterprise,3.0,376.0,Full-to-Full,Confirmed,8809.0,9654.98
565,4,Recife (PE),Rio de Janeiro (RJ),firstClass,1611.14,2.3,885.57,Rainbow,06-02-2022,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,06-02-2022,4You,Patricia Carson,female,44,South Anthony,New Marioberg,Sedan,Enterprise,1.0,318.0,Full-to-Full,Pending,3590.0,5533.12
591,4,Brasilia (DF),Recife (PE),firstClass,772.21,0.63,242.21,Rainbow,12-01-2022,Hotel AU,Recife (PE),4,312.83,1251.32,12-01-2022,4You,Patricia Carson,female,44,North Aaronchester,South Bryanport,Sedan,Sixt,2.0,472.0,Partial,Pending,5171.0,7194.53
609,4,Brasilia (DF),Campo Grande (MS),firstClass,1096.58,0.72,277.7,CloudFy,04-06-2023,Hotel BW,Campo Grande (MS),2,60.39,120.78,04-06-2023,4You,Patricia Carson,female,44,New Markbury,South Briantown,Luxury,Enterprise,4.0,96.0,Prepaid,Confirmed,3366.0,4583.36
698,6,Brasilia (DF),Recife (PE),firstClass,772.21,0.63,242.21,Rainbow,12-05-2019,Hotel AU,Recife (PE),1,312.83,312.83,12-05-2019,4You,Jesse Decelle,male,46,East Mistybury,New Kevinberg,Hatchback,Avis,3.0,372.0,Full-to-Full,Confirmed,3353.0,4438.04
805,7,Brasilia (DF),Aracaju (SE),premium,965.62,1.11,425.98,Rainbow,05/28/2020,Hotel Z,Aracaju (SE),2,208.04,416.08,05/28/2020,4You,Gregoria Gil,female,21,West Karinaport,Rogersburgh,Luxury,Enterprise,3.0,384.0,Prepaid,Pending,8975.0,10356.7
805,7,Brasilia (DF),Aracaju (SE),premium,965.62,1.11,425.98,Rainbow,05/28/2020,Hotel Z,Aracaju (SE),2,208.04,416.08,05/28/2020,4You,Gregoria Gil,female,21,Brooketown,Moorefort,Sedan,Budget,4.0,202.0,Prepaid,Cancelled,2644.0,4025.7
812,7,Recife (PE),Natal (RN),economic,301.51,0.58,222.67,CloudFy,07/16/2020,Hotel BD,Natal (RN),2,242.88,485.76,07/16/2020,4You,Gregoria Gil,female,21,Samanthafort,Pattersonfurt,SUV,Avis,4.0,264.0,Full-to-Full,Cancelled,3969.0,4756.27
840,8,Brasilia (DF),Aracaju (SE),firstClass,1214.82,1.11,425.98,Rainbow,01/30/2020,Hotel Z,Aracaju (SE),1,208.04,208.04,01/30/2020,4You,Jack Sabo,none,41,Simpsonside,Alexanderview,SUV,Sixt,2.0,158.0,Partial,Pending,2496.0,3918.86
864,8,Recife (PE),Brasilia (DF),firstClass,709.25,0.63,242.21,CloudFy,07/16/2020,Hotel BP,Brasilia (DF),2,247.62,495.24,07/16/2020,4You,Jack Sabo,none,41,Williamhaven,Bartlettshire,Luxury,Avis,3.0,306.0,Full-to-Full,Cancelled,7383.0,8587.49
917,8,Aracaju (SE),Natal (RN),economic,380.32,0.46,176.33,Rainbow,07/22/2021,Hotel BD,Natal (RN),3,242.88,728.64,07/22/2021,4You,Jack Sabo,none,41,Dianachester,Amandaport,Hatchback,Hertz,2.0,296.0,Full-to-Full,Confirmed,2696.0,3804.96
917,8,Aracaju (SE),Natal (RN),economic,380.32,0.46,176.33,Rainbow,07/22/2021,Hotel BD,Natal (RN),3,242.88,728.64,07/22/2021,4You,Jack Sabo,none,41,Port Andrewstad,Darinchester,Sedan,Hertz,5.0,466.0,Prepaid,Confirmed,5342.0,6450.96
938,8,Aracaju (SE),Sao Paulo (SP),economic,446.73,1.02,392.76,Rainbow,12/16/2021,Hotel AF,Sao Paulo (SP),3,139.1,417.3,12/16/2021,4You,Jack Sabo,none,41,West Danielton,Lake Alexander,Luxury,Sixt,1.0,349.0,Prepaid,Cancelled,7954.0,8818.03
974,8,Brasilia (DF),Florianopolis (SC),premium,1222.24,1.66,637.56,Rainbow,08/25/2022,Hotel A,Florianopolis (SC),1,313.02,313.02,08/25/2022,4You,Jack Sabo,none,41,Ryanshire,Tannerberg,Sedan,Hertz,5.0,473.0,Prepaid,Cancelled,5407.0,6942.26
988,8,Brasilia (DF),Salvador (BH),firstClass,1665.24,1.76,676.56,Rainbow,12-01-2022,Hotel K,Salvador (BH),4,263.41,1053.64,12-01-2022,4You,Jack Sabo,none,41,Port Olivia,Fergusonborough,Luxury,Sixt,5.0,266.0,Partial,Cancelled,6911.0,9629.88
998,9,Aracaju (SE),Natal (RN),firstClass,549.96,0.46,176.33,Rainbow,10-03-2019,Hotel BD,Natal (RN),2,242.88,485.76,10-03-2019,4You,Debbie Helms,none,35,Williamsstad,Leeton,Luxury,Hertz,2.0,83.0,Prepaid,Confirmed,2795.0,3830.72
1006,9,Aracaju (SE),Recife (PE),firstClass,1124.11,1.44,555.74,CloudFy,11/28/2019,Hotel AU,Recife (PE),2,312.83,625.66,11/28/2019,4You,Debbie Helms,none,35,Jeffreybury,Bakerton,Luxury,Sixt,3.0,128.0,Full-to-Full,Confirmed,3847.0,5596.77
1048,9,Recife (PE),Florianopolis (SC),firstClass,1434.38,1.76,676.53,FlyingDrops,09/17/2020,Hotel A,Florianopolis (SC),3,313.02,939.06,09/17/2020,4You,Debbie Helms,none,35,Johnside,Sarahhaven,Luxury,Avis,3.0,334.0,Full-to-Full,Cancelled,7960.0,10333.44
1055,9,Recife (PE),Salvador (BH),economic,861.68,2.05,788.55,Rainbow,11-05-2020,Hotel K,Salvador (BH),3,263.41,790.23,11-05-2020,4You,Debbie Helms,none,35,West Melissa,Mayshire,SUV,Budget,4.0,382.0,Partial,Pending,5361.0,7012.91
1151,10,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1183.57,1.55,597.61,CloudFy,06/25/2020,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,06/25/2020,4You,Melvin Lovejoy,male,36,Lake Nicholasland,Lake Matthew,Hatchback,Avis,1.0,87.0,Partial,Confirmed,965.0,2812.53
1157,10,Recife (PE),Brasilia (DF),premium,573.61,0.63,242.21,CloudFy,08-06-2020,Hotel BP,Brasilia (DF),3,247.62,742.86,08-06-2020,4You,Melvin Lovejoy,male,36,West Penny,North Danielbury,SUV,Enterprise,2.0,438.0,Prepaid,Cancelled,5877.0,7193.47
1173,10,Recife (PE),Florianopolis (SC),premium,1074.75,1.76,676.53,CloudFy,11/26/2020,Hotel A,Florianopolis (SC),4,313.02,1252.08,11/26/2020,4You,Melvin Lovejoy,male,36,West Patrick,East Bryanbury,Luxury,Sixt,1.0,115.0,Partial,Pending,3270.0,5596.83
1180,11,Recife (PE),Florianopolis (SC),premium,1074.75,1.76,676.53,CloudFy,10/24/2019,Hotel A,Florianopolis (SC),2,313.02,626.04,10/24/2019,4You,Virginia Roberts,female,61,East Jennifer,Port Tiffanyview,Sedan,Hertz,2.0,86.0,Prepaid,Pending,1346.0,3046.79
1213,11,Recife (PE),Brasilia (DF),premium,638.63,0.63,242.21,Rainbow,06-11-2020,Hotel BP,Brasilia (DF),1,247.62,247.62,06-11-2020,4You,Virginia Roberts,female,61,West Nathaniel,Claudiatown,Sedan,Budget,5.0,116.0,Full-to-Full,Confirmed,1826.0,2712.25
1255,11,Recife (PE),Sao Paulo (SP),firstClass,954.78,1.26,486.52,FlyingDrops,04-01-2021,Hotel AF,Sao Paulo (SP),1,139.1,139.1,04-01-2021,4You,Virginia Roberts,female,61,Villanuevachester,South David,Sedan,Hertz,3.0,187.0,Partial,Pending,2405.0,3498.88
1276,11,Aracaju (SE),Florianopolis (SC),firstClass,1582.41,2.1,808.85,Rainbow,08/26/2021,Hotel A,Florianopolis (SC),1,313.02,313.02,08/26/2021,4You,Virginia Roberts,female,61,Lake Nicolechester,Christopherhaven,Luxury,Budget,2.0,68.0,Full-to-Full,Confirmed,2497.0,4392.43
1283,11,Brasilia (DF),Sao Paulo (SP),economic,538.95,0.67,257.81,CloudFy,10/14/2021,Hotel AF,Sao Paulo (SP),2,139.1,278.2,10/14/2021,4You,Virginia Roberts,female,61,Port Pedro,East Danielle,Luxury,Enterprise,1.0,140.0,Prepaid,Cancelled,3781.0,4598.15
1388,12,Brasilia (DF),Recife (PE),firstClass,772.21,0.63,242.21,Rainbow,02/13/2020,Hotel AU,Recife (PE),1,312.83,312.83,02/13/2020,4You,David Thomas,male,53,Tinaton,Loristad,Luxury,Hertz,1.0,398.0,Prepaid,Cancelled,8957.0,10042.04
1400,12,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,05-07-2020,Hotel K,Salvador (BH),1,263.41,263.41,05-07-2020,4You,David Thomas,male,53,Gonzalesstad,Vasquezview,Sedan,Hertz,1.0,385.0,Partial,Pending,4243.0,6230.12
1407,12,Brasilia (DF),Florianopolis (SC),premium,1189.32,1.66,637.56,CloudFy,06/25/2020,Hotel A,Florianopolis (SC),1,313.02,313.02,06/25/2020,4You,David Thomas,male,53,Lake Terrifurt,South Garyburgh,Sedan,Sixt,3.0,128.0,Partial,Cancelled,1802.0,3304.34
1412,12,Recife (PE),Natal (RN),premium,488.73,0.58,222.67,Rainbow,07/30/2020,Hotel BD,Natal (RN),4,242.88,971.52,07/30/2020,4You,David Thomas,male,53,West Bobbyton,Lake Joshuafurt,SUV,Enterprise,1.0,225.0,Prepaid,Confirmed,3224.0,4684.25
1420,12,Brasilia (DF),Rio de Janeiro (RJ),firstClass,539.39,0.48,183.37,FlyingDrops,09/24/2020,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,09/24/2020,4You,David Thomas,male,53,Dawnborough,South Victoriaside,SUV,Hertz,2.0,351.0,Prepaid,Cancelled,4817.0,5522.38
1429,12,Recife (PE),Aracaju (SE),economic,684.88,1.44,555.74,CloudFy,11/26/2020,Hotel Z,Aracaju (SE),3,208.04,624.12,11/26/2020,4You,David Thomas,male,53,New Ashleytown,Hernandezmouth,Sedan,Hertz,1.0,221.0,Full-to-Full,Cancelled,2601.0,3910.0
1505,13,Aracaju (SE),Recife (PE),premium,875.41,1.44,555.74,Rainbow,01-07-2021,Hotel AU,Recife (PE),2,312.83,625.66,01-07-2021,4You,Irene Tucker,none,36,Lake John,Tylerberg,Hatchback,Budget,2.0,208.0,Prepaid,Confirmed,1980.0,3481.07
1576,13,Aracaju (SE),Brasilia (DF),firstClass,957.68,1.11,425.98,CloudFy,05/19/2022,Hotel BP,Brasilia (DF),4,247.62,990.48,05/19/2022,4You,Irene Tucker,none,36,West William,Tonistad,Hatchback,Avis,2.0,411.0,Partial,Confirmed,3611.0,5559.16
1587,13,Brasilia (DF),Campo Grande (MS),premium,851.15,0.72,277.7,Rainbow,08-04-2022,Hotel BW,Campo Grande (MS),3,60.39,181.17,08-04-2022,4You,Irene Tucker,none,36,Matthewstad,North Rebekah,SUV,Sixt,4.0,309.0,Full-to-Full,Pending,4481.0,5513.32
1618,14,Recife (PE),Salvador (BH),firstClass,1596.61,2.05,788.55,FlyingDrops,10-03-2019,Hotel K,Salvador (BH),2,263.41,526.82,10-03-2019,4You,John Cody,male,37,South Jaredbury,Ginashire,Luxury,Sixt,1.0,243.0,Partial,Cancelled,5831.0,7954.43
1666,15,Aracaju (SE),Recife (PE),firstClass,1124.11,1.44,555.74,CloudFy,11/28/2019,Hotel AU,Recife (PE),1,312.83,312.83,11/28/2019,4You,Janice Cudney,female,56,South Donaldshire,Davidside,Luxury,Avis,2.0,181.0,Full-to-Full,Pending,4769.0,6205.94
1676,15,Recife (PE),Aracaju (SE),premium,932.84,1.44,555.74,CloudFy,02-06-2020,Hotel Z,Aracaju (SE),1,208.04,208.04,02-06-2020,4You,Janice Cudney,female,56,Jillport,Matafurt,Hatchback,Sixt,5.0,228.0,Full-to-Full,Pending,2296.0,3436.88
1737,15,Recife (PE),Aracaju (SE),premium,932.22,1.44,555.74,Rainbow,04-08-2021,Hotel Z,Aracaju (SE),3,208.04,624.12,04-08-2021,4You,Janice Cudney,female,56,Gonzalezhaven,South Micheal,Sedan,Avis,2.0,187.0,Full-to-Full,Confirmed,2324.0,3880.34
1747,15,Brasilia (DF),Aracaju (SE),premium,965.62,1.11,425.98,Rainbow,06/17/2021,Hotel Z,Aracaju (SE),3,208.04,624.12,06/17/2021,4You,Janice Cudney,female,56,Michaelchester,West Larryberg,Hatchback,Enterprise,5.0,103.0,Partial,Pending,1311.0,2900.74
1751,15,Brasilia (DF),Campo Grande (MS),premium,851.15,0.72,277.7,Rainbow,07/15/2021,Hotel BW,Campo Grande (MS),4,60.39,241.56,07/15/2021,4You,Janice Cudney,female,56,East Ryan,Morganside,Hatchback,Hertz,5.0,272.0,Partial,Confirmed,2649.0,3741.71
1812,16,Recife (PE),Aracaju (SE),firstClass,1181.19,1.44,555.74,Rainbow,11/14/2019,Hotel Z,Aracaju (SE),4,208.04,832.16,11/14/2019,4You,Shane Hubner,female,47,Danielton,Harrishaven,SUV,Hertz,2.0,328.0,Partial,Cancelled,4530.0,6543.35
1843,16,Brasilia (DF),Natal (RN),firstClass,1313.76,1.43,550.69,CloudFy,06/18/2020,Hotel BD,Natal (RN),1,242.88,242.88,06/18/2020,4You,Shane Hubner,female,47,Danielbury,East Hannahstad,Luxury,Enterprise,3.0,60.0,Full-to-Full,Confirmed,2483.0,4039.64
1859,16,Recife (PE),Florianopolis (SC),economic,761.2,1.76,676.53,CloudFy,10-08-2020,Hotel A,Florianopolis (SC),3,313.02,939.06,10-08-2020,4You,Shane Hubner,female,47,Curtismouth,Ericfurt,Sedan,Hertz,2.0,434.0,Prepaid,Cancelled,4819.0,6519.26
1869,16,Recife (PE),Florianopolis (SC),premium,1070.54,1.76,676.53,Rainbow,12/17/2020,Hotel A,Florianopolis (SC),2,313.02,626.04,12/17/2020,4You,Shane Hubner,female,47,South Scottbury,Youngstad,Sedan,Hertz,2.0,383.0,Prepaid,Pending,4281.0,5977.58
1883,16,Recife (PE),Sao Paulo (SP),economic,545.95,1.26,486.52,Rainbow,03/25/2021,Hotel AF,Sao Paulo (SP),4,139.1,556.4,03/25/2021,4You,Shane Hubner,female,47,Lake Gabriel,Port Steventown,Sedan,Sixt,4.0,173.0,Full-to-Full,Confirmed,2337.0,3439.35
1899,16,Brasilia (DF),Salvador (BH),firstClass,1724.49,1.76,676.56,FlyingDrops,07/15/2021,Hotel K,Salvador (BH),4,263.41,1053.64,07/15/2021,4You,Shane Hubner,female,47,Raymouth,South David,Hatchback,Hertz,3.0,205.0,Partial,Cancelled,2028.0,4806.13
1908,16,Recife (PE),Rio de Janeiro (RJ),economic,910.7,2.3,885.57,CloudFy,09/16/2021,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,09/16/2021,4You,Shane Hubner,female,47,West Margaret,Johnsonshire,Sedan,Avis,4.0,463.0,Full-to-Full,Cancelled,5225.0,6467.68
1948,16,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1189.86,1.55,597.61,Rainbow,06/23/2022,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,06/23/2022,4You,Shane Hubner,female,47,West Bryan,Lake Cynthiashire,Sedan,Enterprise,4.0,233.0,Partial,Pending,2938.0,4293.85
1978,17,Recife (PE),Natal (RN),premium,474.6,0.58,222.67,CloudFy,01/23/2020,Hotel BD,Natal (RN),1,242.88,242.88,01/23/2020,4You,Victor Tribbett,none,25,South Richard,Bentleyview,Hatchback,Sixt,1.0,166.0,Prepaid,Pending,1602.0,2319.48
2160,19,Aracaju (SE),Salvador (BH),premium,1289.05,2.16,830.86,Rainbow,04-02-2020,Hotel K,Salvador (BH),1,263.41,263.41,04-02-2020,4You,John Bennett,male,22,East Jasonfort,Kennethshire,Hatchback,Sixt,5.0,405.0,Prepaid,Confirmed,3732.0,5284.46
2209,19,Recife (PE),Sao Paulo (SP),firstClass,980.83,1.26,486.52,Rainbow,03-11-2021,Hotel AF,Sao Paulo (SP),3,139.1,417.3,03-11-2021,4You,John Bennett,male,22,Crawfordland,Barrytown,SUV,Hertz,3.0,211.0,Partial,Cancelled,3229.0,4627.13
2213,19,Aracaju (SE),Salvador (BH),firstClass,1723.71,2.16,830.86,Rainbow,04-08-2021,Hotel K,Salvador (BH),3,263.41,790.23,04-08-2021,4You,John Bennett,male,22,Jefferyland,East Jonathan,Sedan,Sixt,1.0,68.0,Partial,Confirmed,1078.0,3591.94
2272,20,Brasilia (DF),Natal (RN),firstClass,1313.76,1.43,550.69,CloudFy,10/22/2020,Hotel BD,Natal (RN),4,242.88,971.52,10/22/2020,4You,Sally Roberts,female,65,Taylorport,Nguyenmouth,Luxury,Budget,5.0,368.0,Partial,Pending,8942.0,11227.28
2327,21,Recife (PE),Rio de Janeiro (RJ),firstClass,1612.39,2.3,885.57,CloudFy,05/21/2020,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,05/21/2020,4You,Julia Meinhart,female,56,East Emily,West Christopher,Luxury,Hertz,1.0,402.0,Prepaid,Pending,9006.0,10950.37
2387,21,Aracaju (SE),Salvador (BH),firstClass,1684.05,2.16,830.86,CloudFy,07/15/2021,Hotel K,Salvador (BH),3,263.41,790.23,07/15/2021,4You,Julia Meinhart,female,56,Jenniferborough,North Janice,Hatchback,Enterprise,5.0,191.0,Prepaid,Confirmed,2007.0,4481.28
2396,21,Recife (PE),Rio de Janeiro (RJ),firstClass,1611.14,2.3,885.57,Rainbow,09/16/2021,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,09/16/2021,4You,Julia Meinhart,female,56,New Michael,New Courtneyport,Luxury,Enterprise,5.0,123.0,Prepaid,Cancelled,4049.0,6158.11
2408,21,Aracaju (SE),Florianopolis (SC),premium,1132.81,2.1,808.85,Rainbow,12-09-2021,Hotel A,Florianopolis (SC),3,313.02,939.06,12-09-2021,4You,Julia Meinhart,female,56,Andreaview,New Marystad,Sedan,Avis,2.0,356.0,Full-to-Full,Pending,4043.0,6114.87
2414,21,Brasilia (DF),Aracaju (SE),premium,987.07,1.11,425.98,CloudFy,01/20/2022,Hotel Z,Aracaju (SE),1,208.04,208.04,01/20/2022,4You,Julia Meinhart,female,56,Markstad,East Ashleybury,Hatchback,Enterprise,5.0,193.0,Partial,Cancelled,2043.0,3238.11
2422,21,Brasilia (DF),Natal (RN),premium,1067.3,1.43,550.69,CloudFy,03/17/2022,Hotel BD,Natal (RN),3,242.88,728.64,03/17/2022,4You,Julia Meinhart,female,56,Carolshire,Davisberg,Hatchback,Budget,4.0,299.0,Partial,Confirmed,2832.0,4627.94
2450,21,Aracaju (SE),Rio de Janeiro (RJ),economic,712.64,1.55,597.61,Rainbow,09/29/2022,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,09/29/2022,4You,Julia Meinhart,female,56,Patrickton,Nicholasside,Luxury,Avis,4.0,139.0,Prepaid,Cancelled,4222.0,5432.61
2465,21,Recife (PE),Aracaju (SE),premium,932.22,1.44,555.74,Rainbow,01-12-2023,Hotel Z,Aracaju (SE),1,208.04,208.04,01-12-2023,4You,Julia Meinhart,female,56,Jacquelineshire,West Kaylaton,Hatchback,Enterprise,5.0,203.0,Partial,Pending,2100.0,3240.26
2465,21,Recife (PE),Aracaju (SE),premium,932.22,1.44,555.74,Rainbow,01-12-2023,Hotel Z,Aracaju (SE),1,208.04,208.04,01-12-2023,4You,Julia Meinhart,female,56,Heathermouth,Adamfort,Luxury,Sixt,5.0,171.0,Prepaid,Cancelled,4986.0,6126.26
2467,21,Aracaju (SE),Recife (PE),economic,604.14,1.44,555.74,CloudFy,01/26/2023,Hotel AU,Recife (PE),1,312.83,312.83,01/26/2023,4You,Julia Meinhart,female,56,West Thomas,East Kimchester,Sedan,Enterprise,1.0,65.0,Full-to-Full,Pending,1061.0,1977.97
2483,21,Aracaju (SE),Campo Grande (MS),firstClass,1376.09,1.69,650.1,FlyingDrops,05/18/2023,Hotel BW,Campo Grande (MS),1,60.39,60.39,05/18/2023,4You,Julia Meinhart,female,56,Ryanchester,Matthewbury,Hatchback,Enterprise,2.0,104.0,Prepaid,Pending,1161.0,2597.48
2523,22,Brasilia (DF),Salvador (BH),firstClass,1724.49,1.76,676.56,FlyingDrops,04/30/2020,Hotel K,Salvador (BH),3,263.41,790.23,04/30/2020,4You,Michele Ashford,female,51,Calebmouth,New Tyler,SUV,Enterprise,5.0,112.0,Partial,Pending,2233.0,4747.72
2534,22,Aracaju (SE),Rio de Janeiro (RJ),firstClass,1189.86,1.55,597.61,Rainbow,07/16/2020,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,07/16/2020,4You,Michele Ashford,female,51,Jonathanville,Lake Scotthaven,Sedan,Sixt,5.0,437.0,Prepaid,Pending,5038.0,6891.82
2556,22,Recife (PE),Sao Paulo (SP),economic,545.95,1.26,486.52,Rainbow,12/17/2020,Hotel AF,Sao Paulo (SP),4,139.1,556.4,12/17/2020,4You,Michele Ashford,female,51,Johnsonfort,Duranfurt,SUV,Sixt,2.0,481.0,Prepaid,Confirmed,6382.0,7484.35
2582,22,Aracaju (SE),Recife (PE),economic,602.49,1.44,555.74,Rainbow,06/17/2021,Hotel AU,Recife (PE),4,312.83,1251.32,06/17/2021,4You,Michele Ashford,female,51,Lake Jeromehaven,Michaelhaven,Sedan,Avis,4.0,209.0,Prepaid,Cancelled,2702.0,4555.81
2608,22,Aracaju (SE),Florianopolis (SC),firstClass,1499.93,2.1,808.85,FlyingDrops,12/16/2021,Hotel A,Florianopolis (SC),2,313.02,626.04,12/16/2021,4You,Michele Ashford,female,51,Port Amanda,Sarahmouth,Sedan,Budget,4.0,271.0,Full-to-Full,Pending,3336.0,5461.97
2610,22,Brasilia (DF),Natal (RN),firstClass,1313.76,1.43,550.69,CloudFy,12/30/2021,Hotel BD,Natal (RN),3,242.88,728.64,12/30/2021,4You,Michele Ashford,female,51,West Joshuafort,Lake Andrewview,Luxury,Enterprise,2.0,93.0,Prepaid,Pending,2972.0,5014.4
2761,23,Recife (PE),Rio de Janeiro (RJ),economic,908.93,2.3,885.57,Rainbow,03/17/2022,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,03/17/2022,4You,Leslie Sandoval,male,35,Richardsonhaven,Jeffreymouth,Luxury,Hertz,3.0,173.0,Partial,Cancelled,4733.0,5807.92
2784,24,Recife (PE),Aracaju (SE),firstClass,1181.19,1.44,555.74,Rainbow,11-07-2019,Hotel Z,Aracaju (SE),2,208.04,416.08,11-07-2019,4You,Calvin Cuellar,male,60,Brandonchester,Johnsonbury,Luxury,Budget,5.0,246.0,Full-to-Full,Cancelled,6488.0,8085.27
